Title,Year,Format,Region,Theme,Genre,Animated,Watched,Commentary,Nudity,Subtitles,Sound,Runtime,Rating,Starring1,Starring2,Creator1,Decade,Added,Watched
2Guns,2013,Blu-Ray,B,Buddy Cop,Action,N,Y,Y,N,EN/DK,,109,4,Denzel Washington,Mark Wahlberg,Baltasar Kormákur,2010,,
3:10 to Yuma,2007,DVD,2,Western,Action,N,N,N,N,DK,,107,,Christian Bale,Russell Crowe,James Mangold,2000,21/08/2020,
"4th Angel The",2001,DVD,2,Terrorist,Action,N,N,N,N,DK,Dolby Digital (5.1),92,,Jeremy Irons,Forest Whitaker,John Irvin,2000,25/09/2021,
"6th Day The",2000,DVD,2,Sci-Fi,Action,N,Y,Y,N,EN/DK,,118,5,Arnold Schwarzenegger,Michael Rapaport,Roger Spottiswoode,2000,,
007: Dr. No,1962,DVD,2,Spy,Action,N,N,Y,Y,EN/DK,,105,,Sean Connery,Ursula Andress,Terence Young,1960,30/06/2021,
007: Goldfinger,1964,DVD,2,Spy,Action,N,N,Y,Y,EN/DK,,105,,Sean Connery,Gert Frobe,Guy Hamilton,1960,17/06/2021,
007: Thunderball,1965,DVD,2,Spy,Action,N,N,Y,Y,EN/DK,,125,,Sean Connery,Claudine Auger,Terence Young,1960,30/06/2021,
007: You Only Live Twice,1967,DVD,2,Spy,Action,N,N,Y,Y,EN/DK,,112,,Sean Connery,,Lewis Gilbert,1960,05/07/2021,
007: On Her Majesty's Service,1969,DVD,2,Spy,Action,N,N,Y,Y,EN/DK,,136,,George Lazenby,Telly Savalas,Peter Hunt,1960,30/06/2021,
007: Diamonds Are Forever,1971,DVD,2,Spy,Action,N,N,Y,Y,EN/DK,,120,,Sean Connery,Jill St. John,Guy Hamilton,1970,17/06/2021,
007: Live and Let Die,1973,DVD,2,Spy,Action,N,N,Y,Y,EN/DK,,116,,Roger Moore,Jane Seymour,George Martin,1970,17/04/2021,
007: The Man With The Golden Gun,1974,DVD,2,Spy,Action,N,N,Y,Y,EN/DK,,120,,Roger Moore,Christopher Lee,Guy Hamilton,1970,17/06/2021,
007: The Spy Who Loved Me,1977,DVD,2,Spy,Action,N,N,Y,Y,EN/DK,,120,,Roger Moore,Curt Jurgens,Lewis Gilbert,1970,23/06/2021,
007: Moonraker,1979,DVD,2,Spy,Action,N,N,Y,Y,EN/DK,,122,,Roger Moore,Michael Lionsdale,Lewis Gilbert,1970,19/06/2021,
007: For Your Eyes Only,1981,DVD,2,Spy,Action,N,N,Y,Y,EN/DK,,120,,Roger Moore,Topol,John Glen,1980,17/06/2021,
007: Octopussy,1983,DVD,2,Spy,Action,N,N,Y,Y,EN/DK,,125,,Roger Moore,Maud Adams,John Glen,1980,17/06/2021,
007: A View to a Kill,1985,DVD,2,Spy,Action,N,N,Y,Y,EN/DK,,127,,Roger Moore,Tanya Roberts,John Glen,1980,29/03/2021,
007: The Living Daylights,1987,DVD,2,Spy,Action,N,Y,Y,Y,EN/DK,,130,6,Timothy Dalton,John Rhys-Davies,John Glen,1980,,23/09/2019
007: License To Kill,1989,DVD,2,Spy,Action,N,Y,Y,Y,EN/DK,,127,5,Timothy Dalton,Robert Davi,John Glen,1980,,23/09/2019
007: GoldenEye,1995,DVD,2,Spy,Action,N,Y,Y,Y,EN/DK,,125,6,Pierce Brosnan,Sean Bean,Martin Campbell,1990,30/06/2021,23/09/2019
007: Tomorrow Never Dies,1997,DVD,2,Spy,Action,N,Y,Y,N,EN/DK,,114,4,Pierce Brosnan,Jonathan Pryce,Roger Spottiswoode,1990,22/01/2020,24/01/2020
007: The World is not Enough,1999,DVD,2,Spy,Action,N,Y,N,N,EN/DK,,123,4,Pierce Brosnan,Denise Richards,Michael Apted,1990,23/06/2021,
007: Die Another Day,2002,DVD,2,Spy,Action,N,Y,N,N,EN/DK,,127,4,Pierce Brosnan,Halle Berry,Lee Tamahori,2000,,12/01/2020
007: Die Another Day,2002,DVD,2,Spy,Action,N,Y,N,N,EN/DK,,127,4,Pierce Brosnan,Halle Berry,Lee Tamahori,2000,23/06/2021,12/01/2020
7 Seconds,2005,DVD,2,War / Military,Action,N,N,N,N,EN/DK,,92,,Wesley Snipes,,Simon Fellows,2000,28/07/2021,
